,City,Lat,Lng,Max_Temp,Humidity,Cloudness,WindSpeed,Country,Date
314,davidson,36.1501,-86.7833,71.69,90,0,0.0,US,1657879091
315,marsa matruh,31.3525,27.2453,82.6,54,20,17.27,EG,1657879091
316,kirkland lake,48.1446,-80.0377,48.49,100,1,4.0,CA,1657879091
317,posse,-14.0931,-46.3694,60.01,75,79,5.99,BR,1657879091
318,port-cartier,50.0334,-66.8654,53.74,79,48,2.82,CA,1657879091
319,ayorou,14.7308,0.9174,95.13,37,31,12.5,NE,1657879091
320,bilma,18.6853,12.9164,99.16,26,8,8.16,NE,1657879091
321,lasa,46.6166,10.7002,79.7,35,3,2.39,IT,1657879091
322,rock sound,24.9,-76.2,82.29,73,78,18.86,BS,1657879091
323,norman,35.2226,-97.4395,81.97,70,0,10.36,US,1657879092
324,yulara,-25.2406,130.9889,53.62,24,0,1.45,AU,1657879092
325,kisangani,0.5167,25.2,90.84,44,90,1.63,CD,1657879092
326,kavaratti,10.5669,72.642,82.26,82,99,17.34,IN,1657879092
327,qaracala,39.8132,48.9523,99.48,23,0,20.49,AZ,1657879092
328,bolgatanga,10.7856,-0.8514,86.83,56,70,10.18,GH,1657879092
329,garden city,42.3256,-83.331,61.05,93,7,2.64,US,1657879093
330,nioro,13.35,-15.75,84.58,68,98,3.65,GM,1657879093
331,obo,5.3998,26.4869,73.33,87,98,3.27,CF,1657879093
332,dagda,56.0951,27.5372,62.94,65,77,10.71,LV,1657879093
333,solnechnyy,50.7214,136.6319,71.06,83,60,6.11,RU,1657879093
334,flinders,-34.5833,150.8552,51.39,75,1,4.0,AU,1657879093
335,great yarmouth,52.6083,1.7305,74.07,52,46,4.18,GB,1657879093
336,huamachuco,-7.8,-78.0667,43.75,72,9,0.6,PE,1657879094
337,trelleborg,55.3751,13.1569,66.97,61,77,20.0,SE,1657878802
338,zhezkazgan,47.8043,67.7144,94.98,15,0,8.95,KZ,1657879094
339,mount isa,-20.7333,139.5,55.17,30,0,6.91,AU,1657879094
340,lubaczow,50.157,23.1234,69.51,40,25,12.93,PL,1657879094
341,temirtau,50.0544,72.9483,89.85,22,22,11.72,KZ,1657879094
342,aklavik,68.2191,-135.0107,33.84,94,49,1.52,CA,1657879094
343,arman,59.7,150.1667,70.02,82,47,3.13,RU,1657879094
344,khani,41.9563,42.9566,71.17,33,0,4.94,GE,1657879094
345,bogorodskoye,56.55,37.8833,72.18,46,45,11.65,RU,1657879095
346,wawa,9.9022,4.4192,83.79,63,82,8.59,NG,1657879095
347,bosaso,11.2842,49.1816,96.78,44,75,10.36,SO,1657879035
348,progreso,21.2833,-89.6667,78.12,86,100,8.5,MX,1657879095
349,illela,13.7292,5.2975,90.36,49,94,15.97,NG,1657879095
350,kungurtug,50.5994,97.5228,54.66,61,94,3.4,RU,1657879095
351,sadat,25.6833,83.2833,104.43,28,94,17.05,IN,1657879067
352,fenoarivo,-18.933,47.4354,68.07,45,20,10.36,MG,1657879095
353,hailar,49.2,119.7,72.73,78,62,8.55,CN,1657879095
354,tazovskiy,67.4667,78.7,62.35,46,92,8.75,RU,1657879096
355,xai-xai,-25.0519,33.6442,71.83,66,25,14.7,MZ,1657879096
356,voh,-20.9667,164.7,68.14,67,58,10.0,NC,1657879096
357,joshimath,30.5667,79.5667,78.93,67,71,6.53,IN,1657879096
358,yashkul,46.1711,45.3435,86.85,25,0,4.54,RU,1657879096
359,linguere,15.3953,-15.1193,82.62,74,0,4.61,SN,1657879096
